id, site
91,Ephesos
26,Antiocheia ad Orontem
409,Tarsos
460,Troia
40,Assos
24,Anemorion
334,Pergamon
32,Apollo Smintheion
100,Gindaros
145,Kucuk Burnaz
128,Karamildan
428,Tell Fafine
118,Jebel Khalid
345,Porsuk
338,Phaselis shipwreck
420,Tell Bahouerte
435,Tell Kaffine
153,Lidar Hoyuk
70,Danakaya
13,Aizanoi
347,Priene
80,Doliche
389,Sultantepe
149,Labraunda
416,Tell Aarane
79,Diokaesareia
1,Aazaz
414,Tell Aajar
106,Halikarnassos
423,Tell Berne
444,Tell Rahhal
421,Tell Banat
436,Tell Kassiha
424,Tell Botnan
353,Qara Mazraa
87,El Aareime
415,Tell Aar
78,Didyma
49,Bab
352,Qara Keupru
146,Kululu
36,Arsameia am Nymphaios
12,'Ain Dara
144,Kozluca
328,Palaityr
28,Apamea
92,Epiphaneia
411,Tel Anafa
83,Dura Europos
111,Hippos-Sussita
152,Leukos Limen
127,Kanatha
422,Tell Bararhite
97,Gadara
431,Tell Haourane
69,Damaskos
59,Berytus
233,Oumm el-'Amed
205,Mutatio Heldua
344,Porphyreon
121,Jerusalem
336,Petra
369,Scythopolis
364,Samaria-Sebaste
339,Philadelphia
117,Jalame
158,Mampsis
120,Jericho
124,Kallirhoe
332,Pella
216,Oboda
39,Ashkelon
413,Tel Mevorakh
212,Nessana
46,Azotos
16,Alexandreia
160,Marina el-Alamein
478,Tell Atrib
